professional-drum-machine.js?v=9:33 [POINTER-DOWN] Starting click detection. Front-row cubes: 0, Shelf cubes: 26
professional-drum-machine.js?v=9:33 [POINTER-DOWN] Front-row hits: 0
professional-drum-machine.js?v=9:33 [POINTER-DOWN] Starting click detection. Front-row cubes: 0, Shelf cubes: 26
professional-drum-machine.js?v=9:33 [POINTER-DOWN] Front-row hits: 0
professional-drum-machine.js?v=9:33 [SHELF ADJUST] Free XY movement - X: 0.02, Y: 4.68, Z: LOCKED at -4.20
professional-drum-machine.js?v=9:33 [SHELF ADJUST] Free XY movement - X: 0.02, Y: 4.68, Z: LOCKED at -4.20
professional-drum-machine.js?v=9:33 [SHELF ADJUST] Free XY movement - X: 0.02, Y: 4.69, Z: LOCKED at -4.20
professional-drum-machine.js?v=9:33 [SHELF ADJUST] Free XY movement - X: 0.02, Y: 4.69, Z: LOCKED at -4.20
professional-drum-machine.js?v=9:33 [SHELF ADJUST] Free XY movement - X: 0.02, Y: 4.70, Z: LOCKED at -4.20
professional-drum-machine.js?v=9:33 [SHELF ADJUST] Free XY movement - X: 0.02, Y: 4.70, Z: LOCKED at -4.20
professional-drum-machine.js?v=9:33 [SHELF ADJUST] Free XY movement - X: 0.02, Y: 4.70, Z: LOCKED at -4.20
professional-drum-machine.js?v=9:33 [SHELF ADJUST] Free XY movement - X: 0.02, Y: 4.72, Z: LOCKED at -4.20
professional-drum-machine.js?v=9:33 [SHELF ADJUST] Free XY movement - X: 0.02, Y: 4.72, Z: LOCKED at -4.20
professional-drum-machine.js?v=9:33 [SHELF ADJUST] Free XY movement - X: 0.02, Y: 4.72, Z: LOCKED at -4.20
professional-drum-machine.js?v=9:33 [SHELF ADJUST] Free XY movement - X: 0.02, Y: 4.73, Z: LOCKED at -4.20
professional-drum-machine.js?v=9:33 [SHELF ADJUST] Free XY movement - X: 0.02, Y: 4.73, Z: LOCKED at -4.20
professional-drum-machine.js?v=9:33 [SHELF ADJUST] Free XY movement - X: 0.02, Y: 4.74, Z: LOCKED at -4.20
professional-drum-machine.js?v=9:33 [SHELF ADJUST] Free XY movement - X: 0.02, Y: 4.75, Z: LOCKED at -4.20
professional-drum-machine.js?v=9:33 [SHELF ADJUST] Free XY movement - X: 0.02, Y: 4.75, Z: LOCKED at -4.20
professional-drum-machine.js?v=9:33 [SHELF ADJUST] Free XY movement - X: 0.02, Y: 4.75, Z: LOCKED at -4.20
professional-drum-machine.js?v=9:33 [SHELF ADJUST] Free XY movement - X: 0.02, Y: 4.76, Z: LOCKED at -4.20
professional-drum-machine.js?v=9:33 [SHELF ADJUST] Free XY movement - X: 0.02, Y: 4.76, Z: LOCKED at -4.20
professional-drum-machine.js?v=9:33 [SHELF ADJUST] Free XY movement - X: 0.02, Y: 4.77, Z: LOCKED at -4.20
professional-drum-machine.js?v=9:33 [SHELF ADJUST] Free XY movement - X: 0.02, Y: 4.78, Z: LOCKED at -4.20
professional-drum-machine.js?v=9:33 [SHELF ADJUST] Free XY movement - X: 0.02, Y: 4.78, Z: LOCKED at -4.20
professional-drum-machine.js?v=9:33 [SHELF ADJUST] Free XY movement - X: 0.02, Y: 4.79, Z: LOCKED at -4.20
professional-drum-machine.js?v=9:33 [SHELF ADJUST] Free XY movement - X: 0.02, Y: 4.79, Z: LOCKED at -4.20
